title,url,JM
Aiek A8 Pro-a 3.0-inch Mini 3g Red Phone 2+16g Android 9.0 Niños Teléfono Móvil Regalo De Cumpleaños Dar Pegatinas,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count#reviews,0
"Teléfono Para Ancianos Flip 4g De Doble Pantalla, Teclado Grande, Volumen Alto, Sos, Cámara, Gris",https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count#reviews,0
Android Celulares 9i 5.0 Pulgadas Barato Ram512mb Y Rom4gb Azul,https://www.mercadolibre.com.mx/android-celulares-9i-50-pulgadas-barato-ram512mb-y-rom4gb-negro/p/MLM2003054722#reviews,0
Teléfonos Inteligentes Android Baratos S23 Ultra 6.1 En Ram1gb Y Rom16gb Negro,https://www.mercadolibre.com.mx/telefonos-inteligentes-android-baratos-s24-ultra-negro-68/p/MLM2003887286#reviews,0
Smartphone I14 Pro Max 6.1 Pulgadas 16 Gb Rom 1 Gb Ram Andriod Negro,https://www.mercadolibre.com.mx/smartphone-i14-pro-max-61-pulgadas-16-gb-rom-1-gb-ram-andriod-purpura/p/MLM2002131716#reviews,0
Teléfonos Inteligentes Android Baratos Reno10 Pro 6.26 En Ram1gb Y Rom16gb Dorado,https://www.mercadolibre.com.mx/s-android-celulares-reno10-pro-626-pulgadas-barato-ram1gb-y-rom16gb-dorado/p/MLM2002777925#reviews,0
Mini Smartphone Android Ultrapequeño Para Estudiantes 2024.,https://articulo.mercadolibre.com.mx/MLM-3580972198-mini-smartphone-android-ultrapequeno-para-estudiantes-2024-_JM_NoIndex_True#reviews,1
"S Teléfono Móvil J I15 Pro Max Android 8 Gb+256 Gb 7,3",https://www.mercadolibre.com.mx/s-telefono-movil-j-i15-pro-max-android-8-gb256-gb-73/p/MLM2005699521#reviews,0
Mini Smartphone Android Ultrapequeño Para Estudiantes,https://articulo.mercadolibre.com.mx/MLM-2237906427-mini-smartphone-android-ultrapequeno-para-estudiantes-_JM_NoIndex_True#reviews,1
Hf Teléfono Móvil Flip Teléfono Móvil Dual Sim,https://www.mercadolibre.com.mx/hf-telefono-movil-flip-telefono-movil-dual-sim/p/MLM2005845227#reviews,0
Teléfono Portátil For Personas Mayores Desbloqueado Simple,https://www.mercadolibre.com.mx/telefono-portatil-for-personas-mayores-desbloqueado-simple/p/MLM2005689675#reviews,0
Teléfonos Inteligentes Android Baratos 9i 5.0 En Ram512mb Y Rom4gb Rosa,https://www.mercadolibre.com.mx/android-celulares-9i-50-pulgadas-barato-ram512mb-y-rom4gb-rosa/p/MLM2001844635#reviews,0
"Miniteléfono K688 Hello Kitty Con Tapa, Bonito Par De Teléfo",https://www.mercadolibre.com.mx/k688-hello-kitty-mini-phone-with-lid-cute-pair-of-phones/p/MLM2005794257#reviews,0
Android Celulares I15 Pro Max 6.3 En Barato Ram1gb Y Rom16gb Dorado,https://www.mercadolibre.com.mx/celular-android-i15-pro-max-de-63-en-blanco/p/MLM2001589156#reviews,0
"Basic Phone Dual Analog Dual Standby 32mb/32ram Three Proof Phone With Flashlight, Large Battery, Reverse Charging",https://www.mercadolibre.com.mx/telefono-movil-basico-con-doble-sim-doble-modo-de-espera-t/p/MLM2005784636#reviews,0
Celular Android Gt20 Pro De 6.56 En Negro,https://www.mercadolibre.com.mx/celular-android-gt20-pro-de-656-en-plateado/p/MLM2004249374#reviews,0
I17pro Mini Teléfono Plegable 1.77 Pulgadas Dual Sim 2g,https://articulo.mercadolibre.com.mx/MLM-2279759539-i17pro-mini-telefono-plegable-177-pulgadas-dual-sim-2g-_JM_NoIndex_True#reviews,1
Android Celulares Camon 30 Premier 5.0 Pulgadas Barato Ram1gb Y Rom16gb Negro,https://www.mercadolibre.com.mx/-telefonos-inteligentes-android-baratos-camon-30-premier/p/MLM2006344972#reviews,0
Teléfonos Inteligentes Android Baratos S22+ 5.0 En Ram512mb Y Rom4gb Negro,https://www.mercadolibre.com.mx/sj-android-celulares-s22-50-pulgadas-barato-ram512mb-y-rom4gb-negro/p/MLM2003343669#reviews,0
Smartphone S24 Ultra 6.8 Pulgadas 16 Gb Rom 1 Gb Ram Andriod Amarillo,https://www.mercadolibre.com.mx/smartphone-barato-s24-ultra-3g-ram-1-gb-rom-8-gb-roxo/p/MLM2005313048#reviews,0
"Teléfono Inteligente Smartphone Android S24 Ultra 16 + 1 Tb,",https://articulo.mercadolibre.com.mx/MLM-2209472001-telefono-inteligente-smartphone-android-s24-ultra-16-1-tb-_JM_NoIndex_True#reviews,1
