title,offer_type,rating,review_count,old_price,new_price,JM,condition,review_index,review_text,review_likes,review_stars,review_date
Cubot Kingkong X 5g Dual Sim 512 Gb Negro 16 Gb Ram Android 14,OFERTA DEL DÍA,4.5,316,0.0,5335.0,0,Nuevo,1,"Aguanta todo, la pila dura demasiado. Soy ingeniero en energías renovables, estoy en instalaciones fotovoltaicas por lo que aguanta demasiado. Ideal para trabajos pesados.",12,5,14 feb. 2025
Cubot Kingkong X 5g Dual Sim 512 Gb Negro 16 Gb Ram Android 14,OFERTA DEL DÍA,4.5,316,0.0,5335.0,0,Nuevo,2,Bueno solo que batería no me dura tanto como dice.,11,5,10 feb. 2025
Cubot Kingkong X 5g Dual Sim 512 Gb Negro 16 Gb Ram Android 14,OFERTA DEL DÍA,4.5,316,0.0,5335.0,0,Nuevo,3,"Mira, llevo 10 días con el teléfono, no tiene fallas, su interfaz no es la más agraciada pero con un launcher que te instales queda al millón. No se traba, al principio se calentaba pero ya no ha vuelto a suceder, creo que en lo que se ""acomodaba"" y así. Los juegos calan muy bien, da muy bien el ancho, es pesado y grande (aplica lo de que te mandaron un tabique, lol). Lo único que no me gusta (pero es entendible) es la falta de la entrada jack, el único detalle que más fastidia, pero en cuanto a funcionalidad está excelente, la batería pues te dura 20 horas de uso seguido, es obvio que un teléfono con más capacidad de carga ocupa más espacio de tu espacio físico. Se ve chistoso, parece una batería portátil a veces. 😁. La pantalla de atrás pues mola, no es como la gran innovación pero se ve chido. Trae su cable cargador, tienen un cristal de protección adicional (porque ya trae), su llave, su papeleo y pues es todo, sí lo recomiendo.",2,5,13 abr. 2025
Cubot Kingkong X 5g Dual Sim 512 Gb Negro 16 Gb Ram Android 14,OFERTA DEL DÍA,4.5,316,0.0,5335.0,0,Nuevo,4,Lo estoy probando aún está bien para su precio.,2,5,18 mar. 2025
Cubot Kingkong X 5g Dual Sim 512 Gb Negro 16 Gb Ram Android 14,OFERTA DEL DÍA,4.5,316,0.0,5335.0,0,Nuevo,5,"Un buen equipo, buena calidad de materiales, la funcionalidad es muy buena y el rendimiento es excelente, la proteccion al agua y polvo es realmente lo que promete, la camara es muy buena , cumple lo que promete. Lo recomiendo.",2,4,17 mar. 2025
Cubot Kingkong X 5g Dual Sim 512 Gb Negro 16 Gb Ram Android 14,OFERTA DEL DÍA,4.5,316,0.0,5335.0,0,Nuevo,6,Super resistente y de muy buena calidad sus materiales y acabados de luxe.,2,5,14 mar. 2025
Cubot Kingkong X 5g Dual Sim 512 Gb Negro 16 Gb Ram Android 14,OFERTA DEL DÍA,4.5,316,0.0,5335.0,0,Nuevo,7,Esta algo lento para para los 16gb ram que dicen.,2,5,13 mar. 2025
Cubot Kingkong X 5g Dual Sim 512 Gb Negro 16 Gb Ram Android 14,OFERTA DEL DÍA,4.5,316,0.0,5335.0,0,Nuevo,8,"Es un gran equipo, lo único que le veo es el peso, pero ya le pasó un carrito por encima y prácticamente no le pasó mucho. Definitivamente es un celular para quien tiene manos de digestión o un trabajo que ponga en riesgo su celular.",2,5,17 feb. 2025
Cubot Kingkong X 5g Dual Sim 512 Gb Negro 16 Gb Ram Android 14,OFERTA DEL DÍA,4.5,316,0.0,5335.0,0,Nuevo,9,"Es un celular robusto y si se siente la diferencia de peso comparado con el que tenía anteriormente, la cámara es su punto débil, en lo demás cumple con lo que ofrece.",2,5,13 feb. 2025
Cubot Kingkong X 5g Dual Sim 512 Gb Negro 16 Gb Ram Android 14,OFERTA DEL DÍA,4.5,316,0.0,5335.0,0,Nuevo,10,Hasta el momento todo funcionando bien. Solo el tiempo que tarda en cargar la batería al 100% si es un poco tardado pero quiero pensar que es porque la batería es grande. De ahí todo bien.,2,5,07 feb. 2025
Cubot Kingkong X 5g Dual Sim 512 Gb Negro 16 Gb Ram Android 14,OFERTA DEL DÍA,4.5,316,0.0,5335.0,0,Nuevo,11,Bien.,1,4,03 may. 2025
Cubot Kingkong X 5g Dual Sim 512 Gb Negro 16 Gb Ram Android 14,OFERTA DEL DÍA,4.5,316,0.0,5335.0,0,Nuevo,12,"Está como en la descripción, genial!. Eh visto comentarios anteriores sobre que no les funciono en red telcel,. En mi caso no tuve problema le puse 2 sims de telcel y sin problemas, falta calarlo con el agua, la batería también dura bastante, eso sí, depende el uso diario.",1,5,30 abr. 2025
Cubot Kingkong X 5g Dual Sim 512 Gb Negro 16 Gb Ram Android 14,OFERTA DEL DÍA,4.5,316,0.0,5335.0,0,Nuevo,13,"Es buen equipo solo la lámpara deja mucho q desear, pero el resto muy bien.",1,5,21 abr. 2025
Cubot Kingkong X 5g Dual Sim 512 Gb Negro 16 Gb Ram Android 14,OFERTA DEL DÍA,4.5,316,0.0,5335.0,0,Nuevo,14,"Está bien, pero le faltan mejoras al sistema.",1,5,19 abr. 2025
