title,offer_type,rating,review_count,old_price,new_price,JM,condition,review_index,review_text,review_likes,review_stars,review_date
Caja Fuerte Digital Mediana,OFERTA RELÁMPAGO,4.7,2024,0.0,889.0,0,Nuevo,1,"Buenos materiales, terminados de muy buena calidad, el sistema electrónico funciona muy bien, es fácil personalizar la contraseña, tiene instructivo en español. Es una buena caja de seguridad para el hogar, se puede empotrar bien en la. Pared en cualquier lugar oculta o no. Claro que con herramienta pesada pueden arrancarla y hasta con todo y pared. Pero, es muy funcional para lo que se necesita de tener valores y dinero asegurados en casa. - mil veces mejor que abajo del colchón.",38,5,14 sep. 2022
Caja Fuerte Digital Mediana,OFERTA RELÁMPAGO,4.7,2024,0.0,889.0,0,Nuevo,2,"Llega muy bien empacada, me pareció una muy buena opción relación precio calidad, los materiales se sienten de buena calidad, tiene un peso considerable que te da la sensación de que son materiales bien hechos, lo que no ponen muchos, es que la charola que viene se la puedes quitar o dejar según tus necesidades de espacio, lo cual me pareció perfecto (yo se la dejé, para tener separadas las cosas) tiene buen espacio dentro, la forma de poner la contraseña me pareció sencilla, sumado a un poco de intuición, al ingresar la contraseña se siente muy rápido sin retrasos o de que no se ingresaron bien los números como algunas otras, lo cual también es muy bueno. Caben docs tamaño carta y puse esos objetos para que se den una idea del espacio (no se burlen de mi tenis jaja es 8. 5cm btw). En general muy bien hecha, fácil de instalar, y si vienen las pilas y los taquetes si la necesitas fijar diría contento y muy satisfecho con la compra… viene con su manual por si se te olvida cómo programarla.",34,5,26 oct. 2024
Caja Fuerte Digital Mediana,OFERTA RELÁMPAGO,4.7,2024,0.0,889.0,0,Nuevo,3,"Excelente tamano, y de facil funcionamiento. Le caben documentos (pasaportes, escrituras etc) tiene dos niveles y su fabricacion es de buena calidad. Su lamina no es de altisimo rendimiento, pero es lo que necesito, ya q no vivo en afghanistan.",22,5,30 ago. 2022
Caja Fuerte Digital Mediana,OFERTA RELÁMPAGO,4.7,2024,0.0,889.0,0,Nuevo,4,"Buen producto por el precio, los materiales se ven firmes y de calidad sin llegar a ser un producto premium. Es práctico que funcione con llave o código numérico. La puerta tiene un ligero juego al estar cerrada pero nada que afecte el funcionamiento.",8,5,19 jun. 2024
Caja Fuerte Digital Mediana,OFERTA RELÁMPAGO,4.7,2024,0.0,889.0,0,Nuevo,5,Excelente en relación precio calidad. Recomendado.,8,5,06 dic. 2023
Caja Fuerte Digital Mediana,OFERTA RELÁMPAGO,4.7,2024,0.0,889.0,0,Nuevo,6,"Muy buena opcion, la compre para asegurarme de que mi familia no tomara mi dinero, y funciona perfecto para eso.",6,5,25 oct. 2023
Caja Fuerte Digital Mediana,OFERTA RELÁMPAGO,4.7,2024,0.0,889.0,0,Nuevo,7,"El producto es excelente, resistió un incendio ocurrido en casa y sigue en buenas condiciones.",5,5,16 ago. 2023
Caja Fuerte Digital Mediana,OFERTA RELÁMPAGO,4.7,2024,0.0,889.0,0,Nuevo,8,Me acaba de llegar y está en perfecto estado. Creí que iba a estar chico pero la verdad tiene un muy buen tamaño y estoy muy feliz con el producto. Me gusta su sistema de alarma y código. Pensé que pesaría mucho pero no fue así. ?????lo recomiendo.,5,5,13 may. 2022
Caja Fuerte Digital Mediana,OFERTA RELÁMPAGO,4.7,2024,0.0,889.0,0,Nuevo,9,Fantástico muy fácil crear tu código.,4,5,22 jul. 2023
Caja Fuerte Digital Mediana,OFERTA RELÁMPAGO,4.7,2024,0.0,889.0,0,Nuevo,10,"Yo lo compre con descuento en $998 y en relación calidad precio esta perfecta. Aun en $1499 que es el precio sin descuento esta bien. Yo pensé que iba a sentirse más delicada, ya que había visto otras en tiendas de autoservicio y al tocarlas se sentía una lámina en el techo y paredes y de peor calidad, pero esta se siente mejor y de mejores acabados también. Las paredes y el techo a pesar de sentirse mucho mejor que otras que he visto, aún así es delgado, pero podrían tardar bastante en abrirla o no poder abrirla aún con un martillo y cincel o algo que solo golpee ya con herramienta más especializada, por ejemplo algo que corte el metal la abren seguro. Aquí alguien comento que se metieron a su negocio a robar, que resistió y no pudieron abrirla. Si creo que improvisadamente con herramientas que solo golpeen si resista y no puedan abrirla. Ya con algo que sea para eso y corte si puedan. La puerta es la que si tiene un acero un poquito más grueso que las paredes y el techo, y estaría muy bien que de ese grueso fuera toda, pero por el precio se obtiene lo que se paga y hasta siento que un poquito más, ya que se ve pequeña pero se siente pesada y sólida, al ser pequeña no pense que pesara eso, pensé que iba a ser muy ligera. Las bisagras y la puerta están bien protegidas y ocultas lo suficiente para que no sea nada fácil meter nada por ahí que haga palanca. Le cabe bien una hoja tamaño carta sin doblar. La repisa es un plus en donde se puede guardar un poquito más.",4,5,30 jun. 2023
Caja Fuerte Digital Mediana,OFERTA RELÁMPAGO,4.7,2024,0.0,889.0,0,Nuevo,11,,3,5,25 feb. 2024
