title,url,offer_type,rating,review_count,old_price,new_price
Cubot Kingkong X 5g Dual Sim 512 Gb Negro 16 Gb Ram Android 14,https://www.mercadolibre.com.mx/cubot-kingkong-x-5g-dual-sim-512-gb-negro-16-gb-ram-android-14/p/MLM40378423?pdp_filters=item_id%3AMLM3543571006#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=1&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM3543571006&sid=offers,OFERTA DEL DÍA,4.5,316,0.0,5335.0
Smart Tv Pantalla 32 Pulgadas Weyon Hd Led Android Tv 32wdsnmx,https://www.mercadolibre.com.mx/smart-tv-pantalla-32-pulgadas-weyon-hd-led-android-tv-32wdsnmx/p/MLM23537280?pdp_filters=item_id%3AMLM1923562833#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=2&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM1923562833&sid=offers,OFERTA DEL DÍA,4.4,5809,0.0,2017.0
Tanque De Gas Lp 10kg Cilindro Portátil Vacío Con Accesorios,https://articulo.mercadolibre.com.mx/MLM-2097949141-tanque-de-gas-lp-10kg-cilindro-portatil-vacio-con-accesorios-_JM#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=3&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03,OFERTA DEL DÍA,4.8,2844,0.0,1013.0
Tenis Para Hombre Nike Ebernon Low,https://articulo.mercadolibre.com.mx/MLM-1317019316-tenis-para-hombre-nike-ebernon-low-_JM#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=4&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03,OFERTA DEL DÍA,4.7,771,0.0,799.0
Nivel Láser Autonivelante 360° 16 Líneas Verde Con Trípode,https://www.mercadolibre.com.mx/nivel-laser-autonivelante-360-16-lineas-verde-con-tripode/p/MLM41923882?pdp_filters=item_id%3AMLM3411754588#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=5&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM3411754588&sid=offers,OFERTA DEL DÍA,4.7,604,0.0,1024.0
Hifiluz Tira De Led Luz Neón Flex 6.5m Bluetooth Rgb Ip68 Impermeable 16 Millones De Colores Sincronización De Música Led Tv Diy Tiras De Luces Flexible,https://www.mercadolibre.com.mx/hifiluz-tira-de-led-luz-neon-flex-65m-bluetooth-rgb-ip68-impermeable-16-millones-de-colores-sincronizacion-de-musica-led-tv-diy-tiras-de-luces-flexible/p/MLM43927310?pdp_filters=item_id%3AMLM2153141769#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=6&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM2153141769&sid=offers,OFERTA DEL DÍA,4.7,1528,0.0,176.0
Celular Honor X6b Plus 256 Gb 8gb Ram Morado Estelar,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=HEdKQJ1y4IcHEsGGdxgEQ6cL7w0rIVFmRa75%2BWPTmsNRHDPFbwM4WRtRRHsiX8tLXUnxMKowRrOr9w1p%2BPVkjEdS7ULZm%2Fe1RdJIvotoMjDQB1gFeKCh0Y4tgJoncjGyJ11w8crFPs3enh9ZCQ2jjx4TECG%2Fnk%2FdmNyXZwvyyVxIf5iz%2BfSFqV063MddYsgx%2FAcgHcjAOtq%2BruAGiI57R7cs5oJVX8%2FlWPjgUKSXb0bceyEK1o%2FrwNAbMMPSW45ajQlIGUL1tIT%2Bnxevh782qEcBwDyiYPHV9wwfKukxb1xVcqeBxaefD9aLWfLnolJzfi7PDo7SDufq0KMP%2Bgrs%2F6GpiPM344KNTg%2Fhr5vqtUoy1lz82UzxH8TOQcYEQV15yXc6ks8yvcq0ZSlIZlagxH7nDxUZiHdULgPFvOoe6n76Xo06k0JkKESiQEOurmoU6qC3VfI9pXRgn66sSWJ2A6TApMV9PhAoSHt7LuBQu1GDL9DvERLaBPnU4Sz1eYcMrslEaJ1FUsxp%2BceoLl%2BFjJG74G5SHsGk%2FEBmVw%3D%3D&url=https%3A%2F%2Fwww.mercadolibre.com.mx%2Fcelular-honor-x6b-plus-256-gb-8gb-ram-morado-estelar%2Fp%2FMLM42638300%23wid%3DMLM2180691093%26sid%3Doffers%26searchVariation%3DMLM42638300%26position%3D7%26search_layout%3Dgrid%26deal_print_id%3Df0b088a0-90ff-4c51-9aad-c1ee72ac7965%26tracking_id%3D7be5938f-c54c-4660-ad66-adf65043fe03&lm=-367261719#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=7&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM2180691093&sid=offers,na,4.7,258,0.0,2799.0
Smart Tv Pantalla 50 Pulgadas Cuory Google Tv 4k Uhd Qled,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=lPNekM7l4s4iBWPiFjFy51YKjs2SqXrtxVTu%2FHa%2FdlpDmS1P%2FqZKyykzFoeBLTa%2FLG1zJk0Dab9qiuw0kpT3SXMkV2EZeuSkrJZtYEbkOoM5YnsVT1zxbn5YKdTX6E96GRzTxnTBA438kNhIJZjEPsU7LBT7NUZCPwveQzbn7cL2GdM0n4ialZd7uItCOEwPHv2PRYLIfneniNRjqWvfeWTxyPAMwNBp2Ad6a%2FTyBq6RQuIGceqGcz9HTOaOFcMdhVTtmrw8v7dtCS2aqoFZ%2BKwFM97FUH9xHfKZh%2BCaln5X6Mzl0dqg9Two683xGOkVf%2BAqLGjVnmGAyHpHO8H1DsRAIrz6zixJCmU6F8nypjC0sLV9UOnIGtshDt5BuQQ318eHYM5FSQdIwbEywxUxHBAH%2BwVMnQTzXyBtkbAP2A%2FKxBQCgNCghoI64Nw%2FGdGU9Xe4MduRy%2Bbhs0rps5%2F6d%2FZ%2BGavOmLCJVHXwGGTwXmJfRb4aX05tcdCy5eFL%2BZblGUSj2TPgVRkRKpz78bmSyKHCHOt%2Fh0TE9RmC98s%3D&url=https%3A%2F%2Fwww.mercadolibre.com.mx%2Fsmart-tv-pantalla-50-pulgadas-cuory-google-tv-4k-uhd-qled%2Fp%2FMLM44899239%23wid%3DMLM3689976790%26sid%3Doffers%26searchVariation%3DMLM44899239%26position%3D8%26search_layout%3Dgrid%26deal_print_id%3Df0b088a0-90ff-4c51-9aad-c1ee72ac7965%26tracking_id%3D7be5938f-c54c-4660-ad66-adf65043fe03&lm=-899229171#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=8&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM3689976790&sid=offers,na,4.6,8,0.0,5299.0
Hidrolavadora 2030psi 1200w Adr411 Adir Color Amarillo,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=77RIQr2xya5xN48a8MIeXtbbV5QOAUcC5vUZEKtOQ7r%2ByKUbD50BMNxMssKjwV4J9nT1uJ831d0ugsbK0%2BW%2FiFLKSvTjT2N7RZwwVmVPLRxSAkSNrrfPm2%2BtF5WQmOfXsiz7Iyyiveuz8Tcr3rCC%2FzYiVVLF3FdjnI9nlEBhTIn8eKE2Wp%2BxHSWzpOfbZKlKcFpB5fshO1fQ0nPAWWCpu5aGKqpFEN68NjoDg5y7SZ997q9x2Xno6sZviCF5SIwEZizwBVc4loip4jgP3ad2ZrlxLhogO39umZH39WcGw3KE4zpvfqoGfHXXX84DlJWNETsRIYhZJaqrWuFDC%2Fov7%2BCjf0y6yBAWQibqXpezHURO3RGNVf74tme1hmwQrsJiW1pdyyiFMuWOgRAXhJ8OWQkRcceSh1ujpQ8crq%2FmTVw%2BQfSv8%2BY6iozhXgnRHT4m1Y0hlQXlufAHQVSMxTzhvBMB%2FCLjYqAmNAEuWYoOm8u1HFj0uouu5EUBWl9KEbYZKWj%2Bi8QaBN0XGFryZdqYs2v70In1r1dX7R0p&url=https%3A%2F%2Fwww.mercadolibre.com.mx%2Fhidrolavadora-2030psi-1200w-adr411-adir-color-amarillo%2Fp%2FMLM19084710%23wid%3DMLM1432145897%26sid%3Doffers%26searchVariation%3DMLM19084710%26position%3D9%26search_layout%3Dgrid%26deal_print_id%3Df0b088a0-90ff-4c51-9aad-c1ee72ac7965%26tracking_id%3D7be5938f-c54c-4660-ad66-adf65043fe03&lm=393567148#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=9&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM1432145897&sid=offers,na,4.6,3495,0.0,1114.0
Playera Polo Para Hombre American Eagle Las Favoritas,https://articulo.mercadolibre.com.mx/MLM-1326118837-playera-polo-para-hombre-american-eagle-las-favoritas-_JM#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=10&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03,MÁS VENDIDO,4.8,1038,0.0,384.0
