title,url,offer_type,rating,review_count,old_price,new_price,JM
Cubot Kingkong X 5g Dual Sim 512 Gb Negro 16 Gb Ram Android 14,https://www.mercadolibre.com.mx/cubot-kingkong-x-5g-dual-sim-512-gb-negro-16-gb-ram-android-14/p/MLM40378423?pdp_filters=item_id%3AMLM3543571006#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=1&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM3543571006&sid=offers,OFERTA DEL DÍA,4.5,316,0.0,5335.0,0
Smart Tv Pantalla 32 Pulgadas Weyon Hd Led Android Tv 32wdsnmx,https://www.mercadolibre.com.mx/smart-tv-pantalla-32-pulgadas-weyon-hd-led-android-tv-32wdsnmx/p/MLM23537280?pdp_filters=item_id%3AMLM1923562833#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=2&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM1923562833&sid=offers,OFERTA DEL DÍA,4.4,5809,0.0,2017.0,0
Nivel Láser Autonivelante 360° 16 Líneas Verde Con Trípode,https://www.mercadolibre.com.mx/nivel-laser-autonivelante-360-16-lineas-verde-con-tripode/p/MLM41923882?pdp_filters=item_id%3AMLM3411754588#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=5&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM3411754588&sid=offers,OFERTA DEL DÍA,4.7,604,0.0,1024.0,0
Hifiluz Tira De Led Luz Neón Flex 6.5m Bluetooth Rgb Ip68 Impermeable 16 Millones De Colores Sincronización De Música Led Tv Diy Tiras De Luces Flexible,https://www.mercadolibre.com.mx/hifiluz-tira-de-led-luz-neon-flex-65m-bluetooth-rgb-ip68-impermeable-16-millones-de-colores-sincronizacion-de-musica-led-tv-diy-tiras-de-luces-flexible/p/MLM43927310?pdp_filters=item_id%3AMLM2153141769#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=6&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM2153141769&sid=offers,OFERTA DEL DÍA,4.7,1528,0.0,176.0,0
Celular Honor X6b Plus 256 Gb 8gb Ram Morado Estelar,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=HEdKQJ1y4IcHEsGGdxgEQ6cL7w0rIVFmRa75%2BWPTmsNRHDPFbwM4WRtRRHsiX8tLXUnxMKowRrOr9w1p%2BPVkjEdS7ULZm%2Fe1RdJIvotoMjDQB1gFeKCh0Y4tgJoncjGyJ11w8crFPs3enh9ZCQ2jjx4TECG%2Fnk%2FdmNyXZwvyyVxIf5iz%2BfSFqV063MddYsgx%2FAcgHcjAOtq%2BruAGiI57R7cs5oJVX8%2FlWPjgUKSXb0bceyEK1o%2FrwNAbMMPSW45ajQlIGUL1tIT%2Bnxevh782qEcBwDyiYPHV9wwfKukxb1xVcqeBxaefD9aLWfLnolJzfi7PDo7SDufq0KMP%2Bgrs%2F6GpiPM344KNTg%2Fhr5vqtUoy1lz82UzxH8TOQcYEQV15yXc6ks8yvcq0ZSlIZlagxH7nDxUZiHdULgPFvOoe6n76Xo06k0JkKESiQEOurmoU6qC3VfI9pXRgn66sSWJ2A6TApMV9PhAoSHt7LuBQu1GDL9DvERLaBPnU4Sz1eYcMrslEaJ1FUsxp%2BceoLl%2BFjJG74G5SHsGk%2FEBmVw%3D%3D&url=https%3A%2F%2Fwww.mercadolibre.com.mx%2Fcelular-honor-x6b-plus-256-gb-8gb-ram-morado-estelar%2Fp%2FMLM42638300%23wid%3DMLM2180691093%26sid%3Doffers%26searchVariation%3DMLM42638300%26position%3D7%26search_layout%3Dgrid%26deal_print_id%3Df0b088a0-90ff-4c51-9aad-c1ee72ac7965%26tracking_id%3D7be5938f-c54c-4660-ad66-adf65043fe03&lm=-367261719#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=7&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM2180691093&sid=offers,na,4.7,258,0.0,2799.0,0
Hidrolavadora 2030psi 1200w Adr411 Adir Color Amarillo,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=77RIQr2xya5xN48a8MIeXtbbV5QOAUcC5vUZEKtOQ7r%2ByKUbD50BMNxMssKjwV4J9nT1uJ831d0ugsbK0%2BW%2FiFLKSvTjT2N7RZwwVmVPLRxSAkSNrrfPm2%2BtF5WQmOfXsiz7Iyyiveuz8Tcr3rCC%2FzYiVVLF3FdjnI9nlEBhTIn8eKE2Wp%2BxHSWzpOfbZKlKcFpB5fshO1fQ0nPAWWCpu5aGKqpFEN68NjoDg5y7SZ997q9x2Xno6sZviCF5SIwEZizwBVc4loip4jgP3ad2ZrlxLhogO39umZH39WcGw3KE4zpvfqoGfHXXX84DlJWNETsRIYhZJaqrWuFDC%2Fov7%2BCjf0y6yBAWQibqXpezHURO3RGNVf74tme1hmwQrsJiW1pdyyiFMuWOgRAXhJ8OWQkRcceSh1ujpQ8crq%2FmTVw%2BQfSv8%2BY6iozhXgnRHT4m1Y0hlQXlufAHQVSMxTzhvBMB%2FCLjYqAmNAEuWYoOm8u1HFj0uouu5EUBWl9KEbYZKWj%2Bi8QaBN0XGFryZdqYs2v70In1r1dX7R0p&url=https%3A%2F%2Fwww.mercadolibre.com.mx%2Fhidrolavadora-2030psi-1200w-adr411-adir-color-amarillo%2Fp%2FMLM19084710%23wid%3DMLM1432145897%26sid%3Doffers%26searchVariation%3DMLM19084710%26position%3D9%26search_layout%3Dgrid%26deal_print_id%3Df0b088a0-90ff-4c51-9aad-c1ee72ac7965%26tracking_id%3D7be5938f-c54c-4660-ad66-adf65043fe03&lm=393567148#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=9&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM1432145897&sid=offers,na,4.6,3495,0.0,1114.0,0
Hidrolavadora Eléctrica Portátil Y Inalámbrica Ironhoof Xbmxf015bk Negro De 550w Con 680psi De Presión Máxima 110v,https://www.mercadolibre.com.mx/hidrolavadora-electrica-portatil-y-inalambrica-ironhoof-xbmxf015bk-negro-de-550w-con-680psi-de-presion-maxima-110v/p/MLM27954436?pdp_filters=item_id%3AMLM2171235197#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=11&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM2171235197&sid=offers,OFERTA DEL DÍA,4.4,2305,0.0,286.0,0
Birdman Creatina Monohidratada En Polvo De Alta Pureza | 90 Servicios | 450g | Sabor Natural,https://www.mercadolibre.com.mx/birdman-creatina-monohidratada-en-polvo-de-alta-pureza-90-servicios-450g-sabor-natural/p/MLM18625838?pdp_filters=item_id%3AMLM1413356802#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=13&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM1413356802&sid=offers,OFERTA RELÁMPAGO,4.8,28519,0.0,363.0,0
Crema Hidratante Corporal Cetaphil En Pote 453g,https://www.mercadolibre.com.mx/crema-hidratante-corporal-cetaphil-en-pote-453g/p/MLM18390579?pdp_filters=item_id%3AMLM3541717446#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=15&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM3541717446&sid=offers,MÁS VENDIDO,4.7,740,0.0,242.0,0
Smart Tv De 40 Jvc Si40fr Con Pantalla Led Hd,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=rsZMsI9hzxjfkMoEKS3MuS9D0RiEsO3KYGPJOc99qSflnnTwisoy4Yreunft%2FlfvS%2Fg24hj2fBZ6rYLdS521lpDshYYFnciXMt1%2FoiDrDwoof92%2BAIJgyxjh5MdNGVSVoxWSAl29VrnALZh0NV3g6rWEGzUHR31q7kupZSPXmTmFSKRwaMAyUWUrqMrjcmvRYrj2mBb5urVAeCT77RVZfU93dOcwBIM4mGhCLZPv6UDRKeavPWQ%2BCBayzWZAkaGJUodXjlYgobyUqpShhcK0%2FmcE14%2B2KknUySSSles0mbNUoemhq5FyTBHndiqscDRwb%2Bhgoepj3jbcDsZoS%2F3%2ByaFHR9uiYcucnBfCp6DpSBcs4GqHa%2B9VfXfkWCFQBTlgPBteKsVTe2eTT4FAIAIQwa%2F2b0moDoEadE5FAMO5ZAP7Sc%2FGa4lCpU99rzDNS2bcbf31R7aGLJcU4Ehrl4PwzsVDVIK8mTsOEcF4I9lN9jbdLufsp7sfSAfmDYWFBcy9qEwHbHOXfUaVjMcnmR4fokk5njp95%2FZ6O1T%2FPWY%3D&url=https%3A%2F%2Fwww.mercadolibre.com.mx%2Fsmart-tv-de-40-jvc-si40fr-con-pantalla-led-hd%2Fp%2FMLM18562451%23wid%3DMLM1745038074%26sid%3Doffers%26searchVariation%3DMLM18562451%26position%3D18%26search_layout%3Dgrid%26deal_print_id%3Df0b088a0-90ff-4c51-9aad-c1ee72ac7965%26tracking_id%3D7be5938f-c54c-4660-ad66-adf65043fe03&lm=497427821#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=18&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM1745038074&sid=offers,na,4.7,211,0.0,3717.0,0
