index,review,likes,stars,date
0,"Es original, solo que podrían tener más cuidado con el empaque ya que solo viene adentro de una caja y no tiene señal de frágil, y me gustaría saber si acepta cualquier compañía el telefono o esta liberado ya que en la publicación no especifica.",639,4,30 nov. 2021
1,"El telefono es original y esta desbloqueado para cualquier compañia, el color y su funcionamiento es perfecto.",441,5,14 jun. 2022
2,"El teléfono es original jala muy bien, dentro trae todo incluye 1 estampa, lo único por lo que no le doy 5 estrellas es que deberían tener más cuidado al mandarlo, ya que venia sin ninguna protección y sin el plástico de sellado de la caja. Y por lo mismo de no traer protección venía ligeramente abollada de las esquinas la caja. Ese es el único detalle pero todo en orden.",347,4,03 oct. 2023
3,"Muy buen equipo, anteriormente tuve un s21+ y quise orobar algo diferente, ya que toda mi vida he sido android y la verdad es un telefono muy bueno, pero si extraño muchas cosas de los samsung.",220,4,15 feb. 2022
4,"Venía sellado, intacto, la caja un poquito maltratada pero supongo fue por el transcurso , me encantó y el color está muy lindo 10/10.",134,5,23 feb. 2024
5,"Estoy encantada es original no pesa y el tamaño está perfecto, me encanto y lo recomiendo ampliamente.",104,5,11 sep. 2023
6,"Todo bien hasta el momento, llevo una semana usándolo y todo excelente con el teléfono, di el salto del i11 con 64gb a este de 128 y la diferencia es grande.",71,5,29 dic. 2023
7,"Supero mis expectativas!! no me sentía muy convencido por el color, pero la verdad lo vale completamente, está bellísimo, la batería y todo al millón, es completamente nuevo y confiable. Me encantó mi compra, muy feliz con mi nuevo producto.",66,5,15 mar. 2024
8,"Fue un regalo para mi esposa, ella tenía el iphone 8 y le super encantó este iphone 13, la verdad que me ha sorprendido la fluidez y las cámaras, lo recomiendo ampliamente ya que es nuevo y sellado.",59,5,27 nov. 2021
9,,51,5,23 dic. 2023
10,Me encantó! es original y está muy padre.,46,5,14 ene. 2024
11,"Cambio de telefono aproximadamente cada 4/5 años, empece con el 5, luego el 8 y finalmente el iphone 13. Me gusta mucho la estetica y manejabilidad. Le soy fiel a apple porque se ajusta a mis necesidades.",44,5,02 dic. 2021
12,,29,5,21 mar. 2024
13,"Es muy bonito y rapido, de buen tamaño y con bastantes funcionalidades para sacar provecho.",29,5,21 jul. 2022
14,Excelente telefono. Super fotografias. Buena duración de bateria.,26,5,20 oct. 2022
15,"Me pareció muy bien y de muy buena calidad, no tardó tanto en llegar, lo único fue que al empaque no le pusieron que era frágil.",23,5,26 jun. 2024
16,Recomendado.,21,5,24 jun. 2024
17,"Super bien el modelo , color y x lo pronto funcionamiento.",18,4,15 feb. 2022
18,Esta hermoso.,15,5,23 may. 2024
19,"Todo excelente, ya casi dos años con el celular y ha salido muy bueno.",15,5,29 jul. 2023
20,Excelente 🫶🏼.,14,5,29 sep. 2024
21,"Excelente producto , sin ninguna cuenta ni nada raro. Completamente nuevo. Me espere un mes para poder opinar y sin duda es un buen producto y a un buen precio.",14,5,25 jul. 2024
22,Es un iphone. Nada más que comentar.,14,5,02 mar. 2023
23,"Me fascinó, desde hace tiempo queria cambiar de andriod a ios y no me arrepiento de haber tomado esta decisión, el iphone 13 lo tiene todo, excelente diseño, el sistema operativo es muy amigable, el color azul que adquirí se ve discreto y elegante a la vez, la batería es otro plus, ya que tiene una alta durabilidad aún cuando usas el teléfono a full por lo que sin duda alguna, esta es una excelente compra y excelente decisión. Lo recomiendo totalmente. El teléfono es original de apple.",12,5,19 mar. 2022
24,Excelente producto y buena calidad.,11,5,21 may. 2024
25,"Completamente original, muy buen equipo la calidad del iphone. Ya saben, batería al 100%. Buena compra.",11,5,23 may. 2024
26,La verdad todo super bien con su caja en perfecto estado al igual que el equipo ademas los msi esta de lujo ya q en ningun lado encontre buen precio y mensualidades simplemente hermoso.,11,5,04 feb. 2022
27,"Excelente producto, muy bonito.",9,5,22 abr. 2022
28,"Muy bueno todo bien, venia nuevo y sellado, es original todo perfecto.",10,4,28 mar. 2022
29,Buen precio en esas fechas el producto es original y garantía activada en el momento de su activación.,8,5,13 jun. 2022
30,"Excelente, la caja del equipo venia un poco sucia pero en si el equipo en muy buenas condiciones ademas de ser nuevo original y con un diseño muy bonito, muy recomendado.",6,5,06 abr. 2022
31,"Excelente producto , original y funciona al 100%.",6,5,26 jun. 2022
32,"Es un magnífico producto, muy accesible y fácil de manejar, aunado que para mi es ergonómico.",5,5,25 ago. 2022
33,"Muy buena compra, el equipo es totalmente nuevo.",5,5,04 mar. 2022
34,Mui bien exacto lo que pedi en el timpo que yegaria yego.,7,5,23 mar. 2022
35,Totalmente satisfecho lastima que ya no tienen mas disponobles al mismo precio.,4,5,06 jun. 2022
36,"Me gusto de masiado, muy recomendable, desde que lo destape me gusto. No econtre nada algo negativo. Excelente.",5,5,23 feb. 2022
37,"Es mi primer iphone y la verdad crei que la batería duraría menos por comentarios de otras personas pero me sorprendió si dura la batería, el iphone es muy rápido todo perfecto calidad precio 10/10.",3,5,23 nov. 2024
38,"Fue un regalo para mi hija. El precio muy bien, todo excelente. ¡está encantada con su celular!.",3,5,03 jun. 2024
39,"Excelente producto, tengo dos días con él y me ha encantado su rendimiento, seguro volvería a comprar.",3,5,25 dic. 2023
40,"Me gustó mucho, el precio muy bueno, muy util.",3,5,03 dic. 2023
41,Todo como debe ser.,3,5,06 nov. 2023
42,"Buen equipo, pero es mejor invertir en cualquier modelo de la serie pro, mejor batería y mas frames en pantalla.",3,5,27 oct. 2023
43,Original. Nuevo y sellado.,3,5,05 jul. 2023
44,"Muy bueno, lo q esperaba y excelente producto.",3,5,18 feb. 2022
45,Excelente producto! calidad !! totalmente sellado.,3,5,04 dic. 2022
46,"Excelente producto, está increíble muy buena compra 👌🏼.",2,5,26 ene. 2025
47,,2,5,19 abr. 2025
48,"Hasta el momento ha tenido un funcionamiento correcto, no he tenido problemas ni nada extraño, todo muy bien.",2,5,23 abr. 2025
49,"Excelente compra, no duden en comprarlo. Venia completo en su caja su cable original. Dura mucho la carga de la batería. Hasta el momento satisfecha con la compra.",2,5,29 jul. 2024
50,"Excelente el equipo llegado sellado y en buen estado, cuenta con garantía y es un equipo de la región.",2,5,25 jul. 2024
51,"Excelente, original compra segura.",2,5,25 jul. 2024
52,Todo excelente.,2,5,25 jul. 2024
53,Recomendado.,2,5,25 jul. 2024
54,Bueno.,2,5,24 jul. 2024
55,Bien.,2,5,24 jul. 2024
56,"Un muy buen dispositivo, a mi sobrina le. Gusto mucho.",2,5,24 jul. 2024
